Title,Authors,URL,1_ML_Algorithm,1_Detection_domain,1_Open_source,1_Safety/security,2_Training_data,2_Anomaly_generation,Injected,2_Data_size,2_Collection_date,2_AV_level,3_Testing_metrics,3_Detection_latency,Dataset,Simulation,Comments,Links,Performance,,
An Anomaly Detection Study on Automotive Sensor Data Time Series for Vehicle Applications,C. Derse and M. el Baghdadi and O. Hegazy and U. Sensoz and H. N. Gezer and M. Nil,https://www.researchgate.net/profile/Cihangir-Derse/publication/352702022_An_Anomaly_Detection_Study_on_Automotive_Sensor_Data_Time_Series_for_Vehicle_Applications/links/613f259be4419c5e6eca1da5/An-Anomaly-Detection-Study-on-Automotive-Sensor-Data-Time-Series-for-Vehicle-Applications.pdf,"Isolation Forest, K-Means Clustering",Environment Sensors,NA,Both,Real-world,NA,NA,NA,NA,NA,Recall,NA,NA,NA,Poor information on evaluation metrics.,,,,
In-vehicle CAN Bus Anomaly Detection Algorithm Based on Linear Chain Condition Random Field,T. Kai and L. Zhongwei and J. Wenqi and G. Yadong and T. Weiming,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8947020,Linear Chain Conditional Random Field (Probabilistic graphical model),CAN,NA,Security,Simulation,LinearCRF anomaly model is constructed by injecting anomaly message into real data or modifying real data to realise anomaly sample data,Random injections,NA,NA,NA,"Accuracy, FN",NA,NA,CANoe,,https://www.vector.com/int/en/products/products-a-z/software/canoe/,,,
Event-Based Anomaly Detection Using a One-Class SVM for a Hybrid Electric Vehicle,Y. Ji and H. Lee,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9772965,One Class Support Vector Machine,Hybrid Control Unit,NA,Safety,Real-world,Anomaly data was composed by randomly changing some signals of normal data.,Random injections,NA,NA,NA,"Recall, Specificity, Accuracy",NA,NA,NA,"The paper does not provide a specific number of anomalies that were generated. However, it does mention that the algorithm was tested with new actual vehicle field test data and that anomalies not found in the actual vehicle field test were artificially configured and tested. These artificially configured anomalies are referred to as ""prior-unknown anomalies"" in the paper.",,,,
Efficient Driver Drunk Detection by Sensors: A Manifold Learning-Based Anomaly Detector,A. Dairi and F. Harrou and Y. Sun,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9944639,Isolation Forest,"Environment Sensors, Vehicle Sensors",NA,Safety,Real-world,NA,NA,390 data points (217 for no alcohol presence 173 for alcohol presence with different concentration),NA,NA,"Accuracy, Precision, Recall, F1-score, AUC",NA,NA,NA,,,,,
Evaluation of Feature Selection for Anomaly Detection in Automotive E/E Architectures,C. Segler and S. Kugele and P. Obergfell and M. H. Osman and S. Shafaei and E. Sax and A. Knoll,https://mediatum.ub.tum.de/doc/1506725/document.pdf,Statistics-based,ADAS,NA,Safety,Real-world,NA,NA,"Each dataset contains ?3.800 car signals and based on the time the car was driven, the number of samples varies from ?170.000 to ?850.000. In total we run our approach on 17 ADAS functions leading to 136 runs (17*8).",NA,NA,Recall,NA,NA,NA,"The car data has been collected from eight current generation BMW 7 Series (G11), which have been equipped with hardware loggers.",,,,
A Distributed Anomaly Detection System for In-Vehicle Network Using HTM,C. Wang and Z. Zhao and L. Gong and L. Zhu and Z. Liu and X. Cheng,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274979,Hierarchical Temporal Memory,CAN,NA,Both,Real-world,"Anomalies were generated by modifying the test packets. The modification types included minimum, maximum, constant (random), random, and replay.",Random injections,20 hours,NA,NA,"Precision, Recall",NA,NA,NA,,,,,
In-Vehicle CAN Bus Tampering Attacks Detection for Connected and Autonomous Vehicles Using an Improved Isolation Forest Method,X. Duan and H. Yan and D. Tian and J. Zhou and J. Su and W. Hao,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9652038,Isolation Forest,CAN,NA,Security,Both,"Simulated tampering dataset is generated through the CANoe simulation, which is used to imitate the tampering attack scenarios and conduct benchmark testing.  Local anomalies are produced by randomly generating data in the neighborhood of the
normal point cluster.",Simulated attacks,"The final dataset consists of 61 normal points, 14 global anomalies, and 2 local anomalies. The second dataset is wood with 20 instances, 4 of which are anomalies.",NA,NA,"Accuracy, AUC",NA,NA,CANoe,,,,,
Resilient Cooperative Adaptive Cruise Control for Autonomous Vehicles Using Machine Learning,S. Boddupalli and A. S. Rao and S. Ray,https://arxiv.org/pdf/2103.10533.pdf,"Random Forest Regressor, Feed-Forward Neural Network, Univariate Time Delayed Neural Network, Long Short-Term memory",CACC,NA,Security,Simulation,Normal driving data was generated with simulator RDS1000. ,Simulated attacks,"Each of the 24 datasets corresponds to about 15 minutes of driving time and constitutes approximately 90, 000 samples collected at a frequency of 100Hz",NA,NA,"Recall, Precision, F1-score",NA,NA,RDS1000,,,,,
A Dynamic Deep Reinforcement Learning-Bayesian Framework for Anomaly Detection,J. Watts and F. Van Wyk and S. Rezaei and Y. Wang and N. Masoud and A. Khojandi,https://www.researchgate.net/profile/Jeremy-Watts/publication/349376559_A_Dynamic_Deep_Reinforcement_Learning-Bayesian_Framework_for_Anomaly_Detection/links/602d3825299bf1cc26d21a91/A-Dynamic-Deep-Reinforcement-Learning-Bayesian-Framework-for-Anomaly-Detection.pdf,Convolutional Neural Network,Vehicle Sensors,NA,Both,Real-world,Anomalies can be randomly generated to be of types bias or gradual drift,Simulated attacks,"Anomalies was 1%, 5%, or 10% of the data",NA,NA,"Accuracy, Recall, Specificity, positive predictive value, F1-score",NA,SPMD,NA,,,"Bias anomaly: A 0.9873, R 0.9105, P 0.9914, PPV 0.8971, F1 0.9031, Gradual drift: A 0.9848, R 0.8948, P 0.9913, PPV 0.8821, F1 0.8877. Mixed anomaly: A 0.9871, R 0.8845, P 0.9938, PPV 0.9051, F1 0.8936 ",,
An Anomaly Detection Framework for Multi-Variate Time Series in Electric Vehicles,B. Feng and Y. Ye,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9820868,Autoencoder,Electric vehicles,NA,Safety,Real-world,"The dataset includes different types of anomalies, such as overheat, overcharge, and undercharge. ",Random injections,NA,NA,NA,"Recall, Precision, F1-score",NA,NA,NA,,,,,
A Response-Type Road Anomaly Detection and Evaluation Method for Steady Driving of Automated Vehicles,C. Liu and T. Nie and Y. Du and J. Cao and D. Wu and F. Li,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9805658,Estimation-based,Vehicle Sensors,NA,Safety,Both,The anomalies in the dataset were generated by adding the detected road anomalies to the original pavement profile to generate the simulation profile. The vehicle-mounted laser collects the pavement profile data. The paper utilizes the Simulink platform to simulate the vibration of vehicles at different speeds under different elevation conditions.,Real-world collection,NA,NA,NA,"RMSE, MAE",NA,NA,Simulink,Did not use ML for detecting anomalies. Used height of anomalies (HoA),,,,
Conceptual Design of an Autonomous Vehicle for Road Anomaly Detection and Manoeuvring,J. A. Bala and S. A. Adeshina and A. M. Aibinu,https://www.researchgate.net/profile/Jibril-Bala-2/publication/358453331_Conceptual_Design_of_an_Autonomous_Vehicle_for_Road_Anomaly_Detection_and_Manoeuvring/links/63ce6daee922c50e99bafbae/Conceptual-Design-of-an-Autonomous-Vehicle-for-Road-Anomaly-Detection-and-Manoeuvring.pdf,Convolutional Neural Network,Image,NA,Safety,Real-world,"Images of potholes, bumps etc were used as anomalies.",Real-world collection,NA,NA,NA,NA,NA,NA,NA,"Image data comes from real world images. Dataset is from Kaggle. No information on evaluation of model, not even accuracy. ",,,,
Data-driven Thermal Anomaly Detection for Batteries using Unsupervised Shape Clustering,X. Li and J. Li and A. Abdollahi and T. Jones,https://arxiv.org/pdf/2103.08796.pdf,Unsupervised Shape Clustering,Battery,NA,Safety,Real-world,The anomalies were generated based on deviations within the clusters of thermal measurements. Anomaly is detected by monitoring these deviations.,Anomalies were generated,NA,2019-2021,NA,NA,NA,NA,NA,No evaluation metrics included.,,,,
A Framework for Multi-Variate Time Series Anomaly Detection Based on Behavioral Patterns in Electric Vehicles,W. Jia and C. Yang,https://ieeexplore.ieee.org/abstract/document/9987078,Behavioural Pattern-based,Battery,NA,Safety,Real-world,"The anomalies in this paper were generated through a framework for end-to-end construction of an anomaly pattern library for anomaly detection. This framework contains a total of 5 modules, including: Data preprocessing and segmentation module, Feature learning and extraction module, Anomaly quantification module, Anomaly pattern extraction module, Anomaly library construction module",Anomalies were generated,"The data is sampled at a frequency of 10 seconds per point, while the data has more than 50 original features representing the battery information.",NA,NA,"Recall, Precision, F1-score",NA,NA,NA,"The dataset is the real data collected by manufactures in China. The dataset has three types of vehicles: thermal runaway, overheat and normal vehicles",,,,
Anomaly Detection in Automated Vehicles Using Multistage Attention-Based Convolutional Neural Network,A. R. Javed and M. Usman and S. U. Rehman and M. U. Khan and M. S. Haghighi,https://pure.southwales.ac.uk/ws/files/4210339/Final_Version_Anomaly_Detection_in_CAVs.pdf,"Long Short-Term Memory, Convolutional Neural Network",Vehicle Sensors,NA,Both,NA,"The anomalies in the sensor data were generated at different frequencies (i.e., 1%, 5%) and added to the ground truth value of the normal readings. The dataset contains two types of data:  single anomaly type and mixed anomaly type.",Random injections,NA,NA,NA,"Accuracy, Recall, Precision, F1-score",NA,SPMD,NA,,,"Instant: A 0.997, R 0.9941, P 0.9961, F1 0.9952. Constant: A 0.9661, R 0.9561, P 0.9928, F1 0.9741. Gradual: A 0.9621, R 0.9603, P 0.9927, F1 0.9762",,
A Hybrid Approach for Fast Anomaly Detection in Controller Area Networks,J. Sunny and S. Sankaran and V. Saraswat,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9342791,NA,CAN,NA,Security,Real-world,The paper assumes a realistic attack scenario where the attacker has access to the CAN bus via physical or remote attack surfaces and can intercept and drop messages as well as replay and inject anomalous messages into the bus.,Attacking while recording the log,NA,NA,NA,Recall,NA,ReCAN,NA,"Dataset is real CAN bus traffic, but attack scenarios are simulated",https://data.mendeley.com/datasets/76knkx3fzv/2#folder3d76230-b403-4d8,,,
Anomaly Detection for Automotive Diagnostic Applications Based on N-Grams,M. Rumez and J. Lin and T. Fuchß and R. Kriesten and E. Sax,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9202750,Natural Language Processing with N-grams,CAN,NA,Security,Real-world,Anomalies were generated by modifying data from the logged diagnostic data regarding sequence order and changes of values within the bytes of the single diagnostic frames.,Random injections,NA,NA,NA,NA,NA,NA,NA,The training data is based on real-world scenarios. They used a diagnostic device and a BMW i3 for data collection. They executed various diagnostic functionalities several times for generating data sets for training and validation purposes. No evaluation metrics included.,,,,
Anomaly Detection System for Altered Signal Values within the Intra-Vehicle Network,M. Abbas and M. Safar and A. Salem,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9081056,Long Short-Term Memory,ECUs,NA,Security,Simulation,The dataset is obtained from a system simulation ,Simulated attacks,NA,NA,NA,"Precision, Recall, F1-score",NA,NA,Powertrain,,,,,
Time Series Anomaly Detection Based on GAN,Y. Sun and W. Yu and Y. Chen and A. Kadam,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8931714,Generative Adversarial Networks,Vehicle Sensors,NA,Safety,Real-world,"GAN model was trained to recognize normal behavior, and any deviation from this expected behavior was considered an anomaly. It continues to add anomalies",Anomalies were generated,NA,NA,NA,NA,NA,NA,NA,It uses real-world data from Isuzu vehicles to predict potential component failures and provide advanced warning. The training data is based on real-world scenarios. It uses actual continuous data recorded over 3 years from 40 buses with the same engine model. No evaluation  metrics.,,,,
Anomaly Monitoring Framework in Lane Detection With a Generative Adversarial Network,H. Kim and J. Park and K. Min and K. Huh,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9005205,Generative Adversarial Networks,Lane Detection,NA,Safety,Real-world,Anomalies were generated using a Generative Adversarial Network (GAN) that estimates the distribution of anomalous data,Anomalies were generated,NA,NA,NA,"Recall, Precision, F1-score",NA,NA,NA,,,,,
Anomaly Detection for Cooperative Adaptive Cruise Control in Autonomous Vehicles Using Statistical Learning and Kinematic Model,F. Alotibi and M. Abdelhakim,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9061150,Statistics-based,CACC,NA,Both,Simulation,The anomalies in this study were generated by simulating a scenario where the platoon leader is compromised and disseminates falsified acceleration information to platoon members.,Simulated attacks,NA,NA,NA,"Recall, Accuracy, FPR",NA,NA,VENTOS,,https://maniam.github.io/VENTOS/,,,
CAN Bus Messages Abnormal Detection Using Improved SVDD in Internet of Vehicles,X. Li and H. Zhang and Y. Miao and S. Ma and J. Ma and X. Liu and K. -K. R. Choo,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9490361,Support Vector Data Description,CAN,NA,Security,Real-world,The anomalies were generated using the method of simulation.,Simulated attacks,1 500 000 Luxgen u5 messages,NA,NA,"Accuracy, Precision, Recall",NA,NA,NA,,,,,
SOME/IP Intrusion Detection System Using Real-Time and Retroactive Anomaly Detection,T. Koyama and M. Tanaka and A. Miyajima and S. Ukai and T. Sugashima and M. Egawa,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9860928,NA,SOME/IP,NA,Security,Simulation,"Anomalies were generated as part of the anomaly datasets, representing various attack patterns on the normal communication patterns.",Anomalies were generated,NA,NA,NA,"Recall, FPR",NA,NA,Testbed,The first is a real-time algorithm that compares received SOME/IP packets with a normal communication model to determine whether they are anomalies.,,,,
Vehicular data acquisition and analytics system for real-time driver behavior monitoring and anomaly detection,B. Nirmali and S. Wickramasinghe and T. Munasinghe and C. R. J. Amalraj and H. M. N. D. Bandara,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8300417,K-Means Clustering,Vehicle Sensors,NA,Safety,Real-world,Anomalies were generated based on deviations from the normal pattern identified by the K-Means Clustering algorithm. The clusters with the least number of data items were considered to have deviations from the normal behavior.,Anomalies were generated,"15600 events in training set, 24000 events in test set",NA,NA,Accuracy,NA,NA,NA,,,,,
A Probabilistic Data Structures-Based Anomaly Detection Scheme for Software-Defined Internet of Vehicles,S. Garg and A. Singh and G. S. Aujla and S. Kaur and S. Batra and N. Kumar,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9107461,NA,IoV,NA,Security,Simulation,No information about anomaly generation.,NA,1200 nodes,NA,NA,"Average object hit ratio, FPR, Accuracy",NA,NA,Testbed,"The paper does not mention a specific machine learning algorithm. Instead, it uses a combination of probabilistic data structures (PDS) including Count-Min Sketch (CMS), Bloom Filter (BF), Quotient Filter (QF), and HyperLogLog (HLL) for anomaly detection.",,,,
Mobile Edge Assisted Literal Multi-Dimensional Anomaly Detection of In-Vehicle Network Using LSTM,K. Zhu and Z. Chen and Y. Peng and L. Zhang,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8673868,Long Short-Term Memory,CAN,NA,Security,Real-world,"Anomalies were generated through different types of attacks on the CAN bus, including spoof, fuzz, DoS, replay, and tamper attacks.",Attacking while recording the log,NA,NA,NA,"Precision, Accuracy, F1-score, Recall, FPR",0.61ms,NA,NA,"In CAN prediction, a LSTM-based neural network is trained with real CAN bus messages to achieve precise prediction",,,,
Anomaly Detection in Hybrid Electric Vehicles Using ANN Based Support Vector Data Description,B. P. Koustubh and V. V. Nair and S. Kumaravel,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8521623,"Support Vector Data Description, Artificial Neural Networks ",Electric Vehicles,NA,Both,Real-world,"The anomalies were generated based on the normal class data, with any data that lies outside the normal class considered abnormal by default.",Random injections,NA,NA,NA,Accuracy ,NA,NA,NA,,,,,
Deep learning-based anomaly detection for imaging in autonomous vehicles,T. P. Kapusi and L. Kovács and A. Hajdu,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9914092,You Only Look Once,Image,NA,Safety,Real-world,"The anomalies were generated through various visual conditions and anomalies that can significantly affect the decision making of self-driving methods and algorithms, such as strong reflections, burnouts, and various components of flares.",Anomalies were generated,1000 images,NA,NA,"Precision, Recall, F1-score, mean average Precision, average detection time",4.14ms,DAVE (not public),NA,The authors used publicly available datasets and their own model-sized track and DAVE (University of Debrecen Autonomous VehiclE).,https://inf.unideb.hu/en/autonomous-vehicle-research-lab,,,
Network Anomaly Detection in Cars based on Time-Sensitive Ingress Control,P. Meyer and T. Häckel and F. Korf and T. C. Schmidt,https://core.inet.haw-hamburg.de/assets/bibliography/eigene/mhks-nadci-20.pdf,Time-Sensitive Networking and Software-Defined Networking (Not AI),"CAN, Ethernet",NA,Security,Simulation,"Anomalies were generated in the form of attacks during the simulation. These attacks targeted different aspects of the system such as timing, bandwidth, frame size, and undefined streams.",Simulated attacks,NA,NA,NA,NA,NA,NA,"OMNET++, INET, CoRE4INET, FiCo4OMNeT, SignalsAndGateaways","The paper does not explicitly mention specific evaluation metrics. However, it discusses the performance of the system in terms of its ability to detect abnormal communication behavior and its limitations.",,,,
ADS-Lead: Lifelong Anomaly Detection in Autonomous Driving Systems,X. Han and Y. Zhou and K. Chen and H. Qiu and M. Qiu and Y. Liu and T. Zhang,https://kangjie-chen.github.io/files/2022_TITS_ADS-lead.pdf,Deep Learning,Lane Detection,NA,Both,Simulation,"Anomalies were generated by deploying attacks in the Baidu Apollo 5.0 platform running with the LGSVL simulator. These attacks include GPS spoofing attacks, traffic sign attacks, and lane detection attacks.",Simulated attacks,NA,NA,NA,"AUROC, AUPRC, Detection Latency",70ms,NA,LGSVL,For lane attacks: Tumsimple datatset. For traffic sign attacks: GTSRB dataset,,,,
A Kalman Variational Autoencoder Model Assisted by Odometric Clustering for Video Frame Prediction and Anomaly Detection,G. Slavic and A. S. Alemaw and L. Marcenaro and D. Martín Gómez and C. Regazzoni,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9991021,Kalman Variational Autoencoder,Image,NA,Both,Real-world,Anomalies were generated based on the difference between the predicted and actual video frames.,Anomalies were generated,NA,NA,NA,NA,NA,"iCab, UAH-DriveSet",NA,This is an anomaly detection model that is not specific for AVs but authors mention the beneficial use for AVS.,,,,
Anomaly Detection for In-Vehicle Network Using CNN-LSTM With Attention Mechanism,H. Sun and M. Chen and J. Weng and Z. Liu and G. Geng,https://www.researchgate.net/profile/Zhiquan-Liu/publication/298710869_LCT_A_Lightweight_Cross-domain_Trust_Model_for_the_Mobile_Distributed_Environment/links/62fa2045b8dc8b4403e4b564/LCT-A-Lightweight-Cross-domain-Trust-Model-for-the-Mobile-Distributed-Environment,"Convolutional Neural Network, Long Short-Term Memory",CAN,NA,Security,Real-world,"Anomalies were generated by simulating various types of attacks on the in-vehicle network, including replay, flood, drop, spoof, and fuzzy attacks.",Simulated attacks,NA,10 days,NA,"Precision, Recall, F1-score, error rate",NA,CLAM,NA,,,,,
Conversion of an Unsupervised Anomaly Detection System to Spiking Neural Network for Car Hacking Identification,Y. Jaoudi and C. Yakopcic and T. Taha,https://par.nsf.gov/servlets/purl/10311668,"Autoencoder, Spiking Neural Network",CAN,NA,Security,Real-world,"The anomalies were generated through cyberattacks. Four types of attacks were used: Denial-of-Service (DoS), a fuzzy attack, drive gear spoofing, and RPM gauge spoofing.",Attacking while recording the log,NA,NA,NA,"Precision, Recall, F1-score",NA,Car-Hacking Dataset (HCRL),NA,"The Car-Hacking Dataset by HCR Lab was used, which was built using a real vehicle.",,"DoS dataset; Prec: 0.66, Rec: 0.63, F: 0.64. Fuzzy dataset; Prec: 0.73, Rec: 0.93, F: 0.82. Impersonation dataset; Prec: 0.73, Rec: 0.92, F: 0.82",,
A Cluster-Based Multidimensional Approach for Detecting Attacks on Connected Vehicles,G. D’Angelo and A. Castiglione and F. Palmieri,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9235336,"Cluster-based Learning Algorithm, Data-centric Anomaly Detection Algorithm",CAN,NA,Security,Real-world,"The anomalies were generated through different types of attacks, including injection, DoS, fuzzy, revolutions per minute (RPM), and GEAR attack.",Attacking while recording the log,injected messages are performed for 3�5 seconds for a total of about 300 intrusions.,NA,NA,"Accuracy, Recall, Specificity, Precision",NA,NA,NA,"The paper proposes two algorithms: a Cluster-based Learning Algorithm (CLA) for learning data behaviors, and a Data-centric Anomaly Detection Algorithm (DADA) for detecting anomalies occurring on the CAN bus.",,,,
Anomaly Detection using IoT Sensor-Assisted ConvLSTM Models for Connected Vehicles,A. Zekry and A. Sayed and M. Moussa and M. Elhabiby,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9449086,"Convolutional Neural Network, Long Short-Term Memory",IoT Sensors,NA,Both,Simulation,"Anomalies were randomly added to the simulated dataset. Range of limited values, range of freezed values, sudden extreme changes, signal jump.",Random injections,0.05 and 0.1 of the dataset was anomalous.,NA,NA,"Precision, Recall, F1-score",NA,NA,NA,,,,,
Change Point Models for Real-Time Cyber Attack Detection in Connected Vehicle Environment,G. Comert and M. Rahman and M. Islam and M. Chowdhury,https://arxiv.org/pdf/2003.04185.pdf,Statistics-based,V2I,NA,Security,Simulation,"Anomalies were generated through three different types of cyber attacks: denial of service (DOS), impersonation, and false information, using basic safety messages (BSMs) generated from CVs through simulation",Simulated attacks,NA,NA,NA,"TP, TN, FP, FN",NA,NA,SUMO,,,,,
Deep Learning Based Anomaly Detection for Fog-Assisted IoVs Network,S. Yaqoob and A. Hussain and F. Subhan and G. Pappalardo and M. Awais,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10050187,Autoencoder,IoV,NA,Safety,Real-world,No information about anomaly generation. Dataset from Kaggle called KDD cup 99 dataset,NA,"125,973 training and 22543 testing samples",1998,NA,NA,NA,NSL-KDD,NA,They used a benchmark dataset named NSL-KDD for their experiments.,,,,
Detecting Vehicle Anomaly by Sensor Consistency: An Edge Computing Based Mechanism,Z. Wang and F. Guo and Y. Meng and H. Li and H. Zhu and Z. Cao,https://nsec.sjtu.edu.cn/publications/2018/Detecting_Vehicle_Anomaly_by_Sensor_Consistency__An_Edge_Computing_Based_Mechanism.pdf,Statistics-based,CAN,NA,Security,Real-world,"Anomalies were simulated by modifying the normal data in three ways: replacing continuous samples with normal data from a different trip, multiplying some continuous samples by a parameter, and randomly and intermittently replacing samples with samples from other trips.",Simulated attacks,165 variables and more than 30 million data items,NA,NA,"Accuracy, FPR",3.2ms,NA,NA,"The system is tested on a real-world vehicular data set, but the anomalies for testing are simulated by modifying the normal data in different attack strategies.",,,,
